timestamp,user,src_ip,dest_ip,event_type,process_name,file_hash,severity
2026-05-15 18:05:00.712104,user6,10.0.0.36,10.0.0.40,successful_login,winword.exe,,critical
2026-05-15 18:05:33.712104,user4,10.0.0.50,10.0.0.20,lateral_movement,cmd.exe,,medium
2026-05-15 18:05:38.712104,user7,10.0.0.44,10.0.0.31,successful_login,powershell.exe,hash_118,low
2026-05-15 18:10:02.712104,user15,10.0.0.10,10.0.0.6,failed_login,cmd.exe,,low
2026-05-15 18:11:57.712104,user10,10.0.0.28,10.0.0.13,malware_detected,svchost.exe,,low
2026-05-15 18:15:47.712104,user18,10.0.0.7,10.0.0.17,failed_login,powershell.exe,,medium
2026-05-15 18:16:43.712104,user20,10.0.0.25,10.0.0.25,malware_detected,powershell.exe,hash_6,low
2026-05-15 18:38:01.712104,user2,10.0.0.24,10.0.0.15,successful_login,winword.exe,,low
2026-05-15 18:39:52.712104,user13,10.0.0.32,10.0.0.29,successful_login,winword.exe,hash_131,low
2026-05-15 18:42:41.712104,user14,10.0.0.29,10.0.0.22,failed_login,svchost.exe,,critical
2026-05-15 18:49:30.712104,user14,10.0.0.45,10.0.0.28,failed_login,powershell.exe,hash_15,high
2026-05-15 19:02:37.712104,user18,10.0.0.3,10.0.0.21,malware_detected,cmd.exe,hash_74,low
2026-05-15 19:04:50.712104,user3,10.0.0.30,10.0.0.39,failed_login,winword.exe,,high
2026-05-15 19:15:19.712104,user17,10.0.0.1,10.0.0.14,malware_detected,cmd.exe,,low
2026-05-15 19:25:02.712104,user5,10.0.0.29,10.0.0.35,failed_login,winword.exe,,low
2026-05-15 19:28:39.712104,user15,10.0.0.5,10.0.0.3,failed_login,powershell.exe,,low
2026-05-15 19:31:17.712104,user20,10.0.0.40,10.0.0.14,successful_login,cmd.exe,,medium
2026-05-15 19:34:15.712104,user8,10.0.0.47,10.0.0.23,malware_detected,chrome.exe,,low
2026-05-15 19:39:12.712104,user2,10.0.0.47,10.0.0.5,impossible_travel,svchost.exe,,medium
2026-05-15 19:40:58.712104,user5,10.0.0.33,10.0.0.50,malware_detected,winword.exe,,low
2026-05-15 19:41:05.712104,user6,10.0.0.34,10.0.0.46,successful_login,powershell.exe,hash_145,critical
